Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,CLV_Proxy,Discount_Flag,Promo_Flag,Promo_Dependency,Satisfied,Loyalty_1,Loyalty_2,Value_Tier,Promo_Segment,Retention_Segment
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,884,1,1,2,1,26,884,Medium,Discount Dependent,Loyal
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,680,1,1,2,1,10,680,Low,Discount Dependent,Loyal
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,2664,1,1,2,1,37,2664,High,Discount Dependent,Loyal
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly,1581,1,1,2,1,31,1581,Medium,Discount Dependent,Loyal
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,1802,1,1,2,1,34,1802,Medium,Discount Dependent,Loyal
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,648,1,1,2,0,8,548,Low,Discount Dependent,Loyal
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,1584,1,1,2,1,44,1584,Medium,Discount Dependent,Loyal
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,1368,1,1,2,1,36,1368,Medium,Discount Dependent,Loyal
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,816,1,1,2,1,17,816,Low,Discount Dependent,Loyal
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,4140,1,1,2,0,46,4040,High,Discount Dependent,Loyal
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,2550,1,1,2,0,50,2450,High,Discount Dependent,Loyal
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,1364,1,1,2,1,22,1364,Medium,Discount Dependent,Loyal
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,1184,1,1,2,0,32,1084,Medium,Discount Dependent,Loyal
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,3520,1,1,2,1,40,3520,High,Discount Dependent,Loyal
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,352,1,1,2,0,16,252,Low,Discount Dependent,Loyal
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,350,1,1,2,0,14,250,Low,Discount Dependent,Loyal
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,260,1,1,2,0,13,160,Low,Discount Dependent,Loyal
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,392,1,1,2,1,7,392,Low,Discount Dependent,Potential Loyalist
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,3854,1,1,2,1,41,3854,High,Discount Dependent,Loyal
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,672,1,1,2,1,14,672,Low,Discount Dependent,Loyal
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,496,1,1,2,1,16,496,Low,Discount Dependent,Loyal
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,3555,1,1,2,1,45,3555,High,Discount Dependent,Loyal
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,2479,1,1,2,1,37,2479,High,Discount Dependent,Loyal
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,1710,1,1,2,0,45,1610,Medium,Discount Dependent,Loyal
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,3458,1,1,2,1,38,3458,High,Discount Dependent,Loyal
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,1584,1,1,2,1,48,1584,Medium,Discount Dependent,Loyal
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,3036,1,1,2,1,44,3036,High,Discount Dependent,Loyal
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,450,1,1,2,0,10,350,Low,Discount Dependent,Loyal
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,1628,1,1,2,0,44,1528,Medium,Discount Dependent,Loyal
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,1080,1,1,2,1,18,1080,Medium,Discount Dependent,Loyal
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,2356,1,1,2,1,31,2356,High,Discount Dependent,Loyal
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,1560,1,1,2,1,40,1560,Medium,Discount Dependent,Loyal
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,1500,1,1,2,1,15,1500,Medium,Discount Dependent,Loyal
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,1311,1,1,2,0,19,1211,Medium,Discount Dependent,Loyal
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,2385,1,1,2,1,45,2385,High,Discount Dependent,Loyal
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,525,1,1,2,0,25,425,Low,Discount Dependent,Loyal
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,1935,1,1,2,0,45,1835,High,Discount Dependent,Loyal
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,1944,1,1,2,1,36,1944,High,Discount Dependent,Loyal
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly,2090,1,1,2,0,38,1990,High,Discount Dependent,Loyal
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,1020,1,1,2,1,34,1020,Medium,Discount Dependent,Loyal
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,1092,1,1,2,0,39,992,Medium,Discount Dependent,Loyal
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,413,1,1,2,1,7,413,Low,Discount Dependent,Potential Loyalist
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly,520,1,1,2,0,26,420,Low,Discount Dependent,Loyal
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,840,1,1,2,0,35,740,Low,Discount Dependent,Loyal
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,3290,1,1,2,1,35,3290,High,Discount Dependent,Loyal
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,1372,1,1,2,0,49,1272,Medium,Discount Dependent,Loyal
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,3358,1,1,2,1,46,3358,High,Discount Dependent,Loyal
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,1088,1,1,2,1,17,1088,Medium,Discount Dependent,Loyal
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly,1566,1,1,2,1,29,1566,Medium,Discount Dependent,Loyal
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,316,1,1,2,1,4,316,Low,Discount Dependent,Potential Loyalist
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17,Cash,Weekly,629,1,1,2,1,17,629,Low,Discount Dependent,Loyal
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,1428,1,1,2,1,21,1428,Medium,Discount Dependent,Loyal
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,651,1,1,2,0,31,551,Low,Discount Dependent,Loyal
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,3397,1,1,2,0,43,3297,High,Discount Dependent,Loyal
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly,1494,1,1,2,1,18,1494,Medium,Discount Dependent,Loyal
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,1584,1,1,2,1,44,1584,Medium,Discount Dependent,Loyal
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,282,1,1,2,1,3,282,Low,Discount Dependent,At Risk
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly,1617,1,1,2,1,49,1617,Medium,Discount Dependent,Loyal
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,966,1,1,2,0,21,866,Medium,Discount Dependent,Loyal
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly,350,1,1,2,1,5,350,Low,Discount Dependent,Potential Loyalist
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months,928,1,1,2,1,32,928,Medium,Discount Dependent,Loyal
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually,1632,1,1,2,0,34,1532,Medium,Discount Dependent,Loyal
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,546,1,1,2,0,21,446,Low,Discount Dependent,Loyal
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,3655,1,1,2,0,43,3555,High,Discount Dependent,Loyal
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly,174,1,1,2,1,3,174,Low,Discount Dependent,At Risk
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually,1785,1,1,2,0,21,1685,Medium,Discount Dependent,Loyal
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly,1376,1,1,2,1,32,1376,Medium,Discount Dependent,Loyal
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,1908,1,1,2,0,36,1808,High,Discount Dependent,Loyal
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,4550,1,1,2,1,50,4550,High,Discount Dependent,Loyal
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,4128,1,1,2,0,43,4028,High,Discount Dependent,Loyal
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,1728,1,1,2,0,24,1628,Medium,Discount Dependent,Loyal
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months,3456,1,1,2,0,36,3356,High,Discount Dependent,Loyal
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,588,1,1,2,1,21,588,Low,Discount Dependent,Loyal
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly,1360,1,1,2,1,34,1360,Medium,Discount Dependent,Loyal
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,1344,1,1,2,1,42,1344,Medium,Discount Dependent,Loyal
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,190,1,1,2,1,2,190,Low,Discount Dependent,At Risk
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,1927,1,1,2,0,47,1827,High,Discount Dependent,Loyal
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,2332,1,1,2,0,44,2232,High,Discount Dependent,Loyal
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly,1645,1,1,2,0,35,1545,Medium,Discount Dependent,Loyal
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly,1245,1,1,2,0,15,1145,Medium,Discount Dependent,Loyal
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly,1392,1,1,2,0,29,1292,Medium,Discount Dependent,Loyal
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months,1782,1,1,2,1,18,1782,Medium,Discount Dependent,Loyal
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,1131,1,1,2,1,13,1131,Medium,Discount Dependent,Loyal
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,2852,1,1,2,1,46,2852,High,Discount Dependent,Loyal
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly,2128,1,1,2,1,28,2128,High,Discount Dependent,Loyal
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly,4800,1,1,2,0,48,4700,High,Discount Dependent,Loyal
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months,3139,1,1,2,0,43,3039,High,Discount Dependent,Loyal
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually,3404,1,1,2,1,37,3404,High,Discount Dependent,Loyal
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,1340,1,1,2,0,20,1240,Medium,Discount Dependent,Loyal
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly,1320,1,1,2,0,33,1220,Medium,Discount Dependent,Loyal
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly,3038,1,1,2,0,31,2938,High,Discount Dependent,Loyal
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly,4250,1,1,2,1,50,4250,High,Discount Dependent,Loyal
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,2345,1,1,2,1,35,2345,High,Discount Dependent,Loyal
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,1958,1,1,2,1,22,1958,High,Discount Dependent,Loyal
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,24,1,1,2,1,1,24,Low,Discount Dependent,At Risk
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,384,1,1,2,0,4,284,Low,Discount Dependent,Potential Loyalist
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly,1085,1,1,2,0,31,985,Medium,Discount Dependent,Loyal
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,3082,1,1,2,0,46,2982,High,Discount Dependent,Loyal
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,2528,1,1,2,0,32,2428,High,Discount Dependent,Loyal
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,3655,1,1,2,0,43,3555,High,Discount Dependent,Loyal
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly,676,1,1,2,1,26,676,Low,Discount Dependent,Loyal
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually,675,1,1,2,1,9,675,Low,Discount Dependent,Loyal
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,1820,1,1,2,1,28,1820,High,Discount Dependent,Loyal
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly,1080,1,1,2,0,20,980,Medium,Discount Dependent,Loyal
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly,855,1,1,2,0,9,755,Medium,Discount Dependent,Loyal
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months,4512,1,1,2,0,48,4412,High,Discount Dependent,Loyal
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually,1032,1,1,2,0,12,932,Medium,Discount Dependent,Loyal
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly,928,1,1,2,1,29,928,Medium,Discount Dependent,Loyal
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,1215,1,1,2,1,27,1215,Medium,Discount Dependent,Loyal
120,38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,Annually,3344,1,1,2,1,44,3344,High,Discount Dependent,Loyal
121,64,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,4.0,Yes,Express,Yes,Yes,32,Bank Transfer,Annually,2688,1,1,2,1,32,2688,High,Discount Dependent,Loyal
122,19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly,792,1,1,2,1,11,792,Low,Discount Dependent,Loyal
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly,1760,1,1,2,1,44,1760,Medium,Discount Dependent,Loyal
124,57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly,4094,1,1,2,0,46,3994,High,Discount Dependent,Loyal
125,44,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,Annually,4300,1,1,2,0,50,4200,High,Discount Dependent,Loyal
126,49,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months,2430,1,1,2,0,45,2330,High,Discount Dependent,Loyal
127,43,Male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months,1728,1,1,2,0,48,1628,Medium,Discount Dependent,Loyal
128,24,Male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly,2314,1,1,2,1,26,2314,High,Discount Dependent,Loyal
129,20,Male,Scarf,Accessories,32,California,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly,672,1,1,2,1,21,672,Low,Discount Dependent,Loyal
130,24,Male,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly,3283,1,1,2,1,49,3283,High,Discount Dependent,Loyal
131,44,Male,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,Fortnightly,507,1,1,2,0,13,407,Low,Discount Dependent,Loyal
132,28,Male,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,1334,1,1,2,0,46,1234,Medium,Discount Dependent,Loyal
133,30,Male,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42,PayPal,Weekly,2436,1,1,2,1,42,2436,High,Discount Dependent,Loyal
